title,link,published,summary,label,rejection_reason,source,text
"Humans hurled massive mammoth tusk boomerangs 40,000 years ago | Popular Science",https://www.popsci.com/science/mammoth-tusk-boomerang/,2025-06-26T15:24:58Z,"At almost 2.5 feet long, the <b>ivory</b> weapon wasn't designed to return to the user.",0,ML classification negative,ml_classifier,"humans hurled massive mammoth tusk boomerangs 40,000 years ago | popular science at almost 2.5 feet long, the <b>ivory</b> weapon wasn't designed to return to the user."
Ancient mammoth-tusk boomerang is twice as old as we thought | New Scientist,https://www.newscientist.com/article/2485925-ancient-mammoth-tusk-boomerang-is-twice-as-old-as-we-thought/,2025-06-26T00:02:23Z,"In 1985, archaeologists unearthed a 72-centimetre-long <b>ivory</b> boomerang buried beneath six layers of sediment in Obłazowa cave in Poland. Later&nbsp;...",0,ML classification negative,ml_classifier,"ancient mammoth-tusk boomerang is twice as old as we thought | new scientist in 1985, archaeologists unearthed a 72-centimetre-long <b>ivory</b> boomerang buried beneath six layers of sediment in obłazowa cave in poland. later&nbsp;..."
40000-year-old mammoth tusk boomerang is oldest in Europe — and possibly the world,https://www.livescience.com/archaeology/40-000-year-old-mammoth-tusk-boomerang-is-oldest-in-europe-and-possibly-the-world,2025-06-26T04:31:37Z,"&quot;The <b>ivory</b> object has all the features of boomerangs used by Aborigines in Queensland today,&quot; study co-author Paweł Valde-Nowak, an archaeologist at&nbsp;...",0,ML classification negative,ml_classifier,"40000-year-old mammoth tusk boomerang is oldest in europe — and possibly the world &quot;the <b>ivory</b> object has all the features of boomerangs used by aborigines in queensland today,&quot; study co-author paweł valde-nowak, an archaeologist at&nbsp;..."
"Pangolins Should Receive Endangered Protections, U.S. Officials Say",https://www.nytimes.com/2025/06/16/climate/pangolins-endangered-species.html,"Mon, 16 Jun 2025 12:45:05 +0000",The armored mammals are trafficked for their scales and meat.,0,ML classification negative,ml_classifier,"pangolins should receive endangered protections, u.s. officials say the armored mammals are trafficked for their scales and meat."
New test distinguishes between elephant and legal mammoth <b>ivory</b> - The Wildlife Society,https://wildlife.org/new-test-distinguishes-between-elephant-and-legal-mammoth-ivory/,2025-06-25T13:58:44Z,... <b>ivory</b> as mammoth <b>ivory</b>. A newly developed stable isotope analysis can distinguish between legal woolly mammoth <b>ivory</b> and illegal elephant <b>ivory</b>. To&nbsp;...,0,LLM marked as not relevant,llm_extraction,new test distinguishes between elephant and legal mammoth <b>ivory</b> - the wildlife society ... <b>ivory</b> as mammoth <b>ivory</b>. a newly developed stable isotope analysis can distinguish between legal woolly mammoth <b>ivory</b> and illegal elephant <b>ivory</b>. to&nbsp;...
Grand Jury Indicts Russian Scientist on Smuggling Charges,https://www.nytimes.com/2025/06/25/science/russian-scientist-harvard-smuggling-deportation-petrova.html,"Wed, 25 Jun 2025 23:44:54 +0000","Kseniia Petrova, a Harvard researcher, was detained in February after failing to declare scientific samples she was carrying into the country.",0,LLM marked as not relevant,llm_extraction,"grand jury indicts russian scientist on smuggling charges kseniia petrova, a harvard researcher, was detained in february after failing to declare scientific samples she was carrying into the country."
Two Brown Bears Broke Out of Their Pen. Then They Ransacked the Honey Stash.,https://www.nytimes.com/2025/06/24/world/europe/bears-escaped-wildwood-devon-honey.html,"Tue, 24 Jun 2025 15:57:50 +0000","Mish and Lucy, 5-year-old siblings, escaped their enclosure at a wildlife sanctuary in Devon, England. Only honey was in danger.",0,LLM marked as not relevant,llm_extraction,"two brown bears broke out of their pen. then they ransacked the honey stash. mish and lucy, 5-year-old siblings, escaped their enclosure at a wildlife sanctuary in devon, england. only honey was in danger."
Study Shows Mercury Levels in Arctic Wildlife Could Rise for Centuries,https://www.nytimes.com/2025/06/13/climate/mercury-pollution-arctic.html,"Sat, 14 Jun 2025 02:52:15 +0000","Even as global emissions plateau, new research shows that wildlife in the Arctic is exposed to rising levels, posing a risk to those who eat it.",0,LLM marked as not relevant,llm_extraction,"study shows mercury levels in arctic wildlife could rise for centuries even as global emissions plateau, new research shows that wildlife in the arctic is exposed to rising levels, posing a risk to those who eat it."
An Elephant's Tusk Never Forgets - Nautilus Magazine,https://nautil.us/an-elephants-tusk-never-forgets-1220527/,2025-06-25T10:12:20Z,"These ancient tusks might be sating some of the global demand for <b>ivory</b> from endangered African elephants. ... <b>ivory</b>, and it's difficult to&nbsp;...",0,LLM marked as not relevant,llm_extraction,"an elephant's tusk never forgets - nautilus magazine these ancient tusks might be sating some of the global demand for <b>ivory</b> from endangered african elephants. ... <b>ivory</b>, and it's difficult to&nbsp;..."
UN peacekeeper killed in CAR in attack by armed group near border with Sudan,https://www.africanews.com/2025/06/25/un-peacekeeper-killed-in-car-in-attack-by-armed-group-near-border-with-sudan/?utm_source=news.google.com&utm_campaign=feeds_news&utm_medium=referral,2025-06-25T08:27:18Z,Scientists find way to identify elephant <b>ivory</b> disguised as legal mammoth <b>ivory</b>. 15:28. South Africa launches vaccination drive to combat foot-and&nbsp;...,0,LLM marked as not relevant,llm_extraction,un peacekeeper killed in car in attack by armed group near border with sudan scientists find way to identify elephant <b>ivory</b> disguised as legal mammoth <b>ivory</b>. 15:28. south africa launches vaccination drive to combat foot-and&nbsp;...
