"title","link","published","summary","label"
"Humans hurled massive mammoth tusk boomerangs 40,000 years ago | Popular Science","https://www.popsci.com/science/mammoth-tusk-boomerang/","2025-06-26T15:24:58Z","At almost 2.5 feet long, the <b>ivory</b> weapon wasn't designed to return to the user.","0"
"Ancient mammoth-tusk boomerang is twice as old as we thought | New Scientist","https://www.newscientist.com/article/2485925-ancient-mammoth-tusk-boomerang-is-twice-as-old-as-we-thought/","2025-06-26T00:02:23Z","In 1985, archaeologists unearthed a 72-centimetre-long <b>ivory</b> boomerang buried beneath six layers of sediment in Obłazowa cave in Poland. Later&nbsp;...","0"
"40000-year-old mammoth tusk boomerang is oldest in Europe — and possibly the world","https://www.livescience.com/archaeology/40-000-year-old-mammoth-tusk-boomerang-is-oldest-in-europe-and-possibly-the-world","2025-06-26T04:31:37Z","&quot;The <b>ivory</b> object has all the features of boomerangs used by Aborigines in Queensland today,&quot; study co-author Paweł Valde-Nowak, an archaeologist at&nbsp;...","0"
"Pangolins Should Receive Endangered Protections, U.S. Officials Say","https://www.nytimes.com/2025/06/16/climate/pangolins-endangered-species.html","Mon, 16 Jun 2025 12:45:05 +0000","The armored mammals are trafficked for their scales and meat.","0"
"New test distinguishes between elephant and legal mammoth <b>ivory</b> - The Wildlife Society","https://wildlife.org/new-test-distinguishes-between-elephant-and-legal-mammoth-ivory/","2025-06-25T13:58:44Z","... <b>ivory</b> as mammoth <b>ivory</b>. A newly developed stable isotope analysis can distinguish between legal woolly mammoth <b>ivory</b> and illegal elephant <b>ivory</b>. To&nbsp;...","0"
"Grand Jury Indicts Russian Scientist on Smuggling Charges","https://www.nytimes.com/2025/06/25/science/russian-scientist-harvard-smuggling-deportation-petrova.html","Wed, 25 Jun 2025 23:44:54 +0000","Kseniia Petrova, a Harvard researcher, was detained in February after failing to declare scientific samples she was carrying into the country.","0"
"Two Brown Bears Broke Out of Their Pen. Then They Ransacked the Honey Stash.","https://www.nytimes.com/2025/06/24/world/europe/bears-escaped-wildwood-devon-honey.html","Tue, 24 Jun 2025 15:57:50 +0000","Mish and Lucy, 5-year-old siblings, escaped their enclosure at a wildlife sanctuary in Devon, England. Only honey was in danger.","0"
"Study Shows Mercury Levels in Arctic Wildlife Could Rise for Centuries","https://www.nytimes.com/2025/06/13/climate/mercury-pollution-arctic.html","Sat, 14 Jun 2025 02:52:15 +0000","Even as global emissions plateau, new research shows that wildlife in the Arctic is exposed to rising levels, posing a risk to those who eat it.","0"
"An Elephant's Tusk Never Forgets - Nautilus Magazine","https://nautil.us/an-elephants-tusk-never-forgets-1220527/","2025-06-25T10:12:20Z","These ancient tusks might be sating some of the global demand for <b>ivory</b> from endangered African elephants. ... <b>ivory</b>, and it's difficult to&nbsp;...","0"
"UN peacekeeper killed in CAR in attack by armed group near border with Sudan","https://www.africanews.com/2025/06/25/un-peacekeeper-killed-in-car-in-attack-by-armed-group-near-border-with-sudan/?utm_source=news.google.com&utm_campaign=feeds_news&utm_medium=referral","2025-06-25T08:27:18Z","Scientists find way to identify elephant <b>ivory</b> disguised as legal mammoth <b>ivory</b>. 15:28. South Africa launches vaccination drive to combat foot-and&nbsp;...","0"
"The illegal trade in <b>ivory</b> and pangolin scales has fallen sharply since COVID-19. But for how long?","https://news.mongabay.com/short-article/the-illegal-trade-in-ivory-and-pangolin-scales-has-fallen-sharply-since-covid-19-but-for-how-long/","2025-06-26T07:29:31Z","Seizures plummeted in 2020 and remain far below pre-pandemic highs, with pangolin seizures down 84% from their 2019 peak and <b>ivory</b> seizures down 94%,&nbsp;...","0"
"Ecuador Captures Gang Leader ‘Fito’ Whose Prison Escape Set Off Violence","https://www.nytimes.com/2025/06/26/world/americas/ecuador-wanted-gang-leader-captured-fito.html","Thu, 26 Jun 2025 09:18:31 +0000","José Adolfo Macías, known as “Fito,” will be extradited to the U.S., where he is wanted on accusations of trafficking drugs and smuggling weapons, Ecuador’s president said.","0"
"New test unmasks illegal elephant <b>ivory</b> disguised as mammoth | ScienceDaily","https://www.sciencedaily.com/releases/2025/06/250625232033.htm","2025-06-26T11:38:39Z","Poachers are using a sneaky loophole to bypass the international <b>ivory</b> trade ban—by passing off illegal elephant <b>ivory</b> as legal mammoth <b>ivory</b>.","0"
"U.S. Accuses Three Mexican Financial Firms of Aiding Fentanyl Trade","https://www.nytimes.com/2025/06/25/world/americas/mexico-financial-firms-fentanyl.html","Thu, 26 Jun 2025 17:22:36 +0000","“We neither deny nor accept this,” Mexico’s president said about U.S. accusations that Mexican firms laundered millions of dollars in connection with fentanyl trafficking.","0"
"Scientists find way to identify <b>elephant ivory</b> disguised as legal mammoth ivory - MSN","https://www.msn.com/en-us/news/world/scientists-find-way-to-identify-elephant-ivory-disguised-as-legal-mammoth-ivory/ar-AA1HktS8","2025-06-25T11:40:11Z","Scientists at the University of Hong Kong have found a new method to help police distinguish between <b>elephant</b> and mammoth <b>ivory</b>.","0"
