title,link,published,summary,label
Hindustan Times,https://www.hindustantimes.com/cities/others/government-railway-police-grp-seizes-2-3kg-elephant-tusk-from-lachit-express-train-in-assam-arrests-smuggler-101692717988667.html,2023-08-22,"The Government Railway Police (GRP) on Tuesday seized Elephant tusk weighing 2.3 kilograms from Lachit Express train at Kamakhya Railway Station in Assam’s Guwahati. According to the officials of the Assam police, the GRP conducted an operation based on a specific information and searched several trains, including Lachit Express, which was heading to Guwahati, at Kamakhya Railway Station on Tuesday morning. “One person named Sandeep Joshi was carrying the elephant tusk and he has been arrested under the Wildlife Protection Act. He was handed over to the Guwahati police later,” an official said. This is the third recovery of elephant tusk from the suspected smugglers and poachers in Assam in the last ten days, according to the officials. On August 18, forest officials in Morigaon recovered elephant tusk weighing 2.5 kg from a residence. The owner of the house was arrested under the Wildlife Protection Act for allegedly being involved in smuggling of wildlife animal body parts. https://www.hindustantimes.com/cities/others/government-railway-police-grp-seizes-2-3kg-elephant-tusk-from-lachit-express-train-in-assam-arrests-smuggler-101692717988667.html",1
East Mojo,https://www.eastmojo.com/assam/2023/08/22/assam-elephant-tusk-seized-by-railway-police-in-guwahati-1-arrested/,2023-08-22,"A significant amount of illicit elephant ivory was seized during an operation led by the Government Railway Police (GRP) at Kamakhya Railway station located in Maligaon on Tuesday. The Railway police team was inspecting the Guwahati-bound Lachit Express train, officials stated. The elephant tusk weighed about 2.300 kg and the estimated worth of the seized ivory is approximately Rs 8-10 lakh, sources said. Sandeep Joshi, identified as the person found with the elephant tusk, was arrested after the operation. https://www.eastmojo.com/assam/2023/08/22/assam-elephant-tusk-seized-by-railway-police-in-guwahati-1-arrested/",1
The Assam Tribune,https://assamtribune.com/guwahati/elephant-tusk-seized-at-guwahatis-kamakhya-railway-station-1490896,2023-08-22,"An elephant tusk weighing around 2.3 kilograms was seized at Kamakhya Railway Station in Guwahati on Tuesday. As per sources, The Government Railway Police carried out a search operation in Guwahati-bound Lachit Express where they recovered the elephant tusk from the possession of one accused identified as Sanjeev Joshi. The market value of the seized tusk is estimated to be around 8-10 lakh rupees. Further investigation is underway. https://assamtribune.com/guwahati/elephant-tusk-seized-at-guwahatis-kamakhya-railway-station-1490896",1
The Sentinel Assam,https://www.sentinelassam.com/north-east-india-news/assam-news/assam-illegal-elephant-ivory-seized-in-guwahati-search-operation-663740,2023-08-22,"In a recent operation conducted by the Government Railway Police (GRP) at Kamakhya Railway Station in Guwahati’s Maligaon, a substantial haul of contraband elephant ivory was confiscated. The operation, which took place on a Tuesday, targeted the Guwahati-bound Lachit Express. Sources with inside information revealed that during the operation, law enforcement officials discovered an elephant tooth weighing an astonishing 2.300 kilograms. This discovery underscores the ongoing battle against the illegal trade in wildlife products. The individual found to be associated with the illegal possession of the elephant tooth has been identified as Sandeep Joshi. He was apprehended as a result of the operation. This arrest signifies a significant step towards dismantling the networks responsible for trafficking endangered species' body parts. https://www.sentinelassam.com/north-east-india-news/assam-news/assam-illegal-elephant-ivory-seized-in-guwahati-search-operation-663740",1
United News of India,http://www.uniindia.com/photoes/473591.html#,2022-11-16,"West Singhbhum forest officers and district police have recovered ten (10) pieces of elephant teeths (tusks) and arrested five (5) smugglers involved in this illegal activity during a massive raid in Chaibasa under West Singhbhum, Jharkhand on Wednesday. http://www.uniindia.com/photoes/473591.html#",1
"Joint team of WCCB and Jharkhand Forest and Police Department teams seized 08 pcs. of elephant ivory and arrested 05 persons at Chaibasa, Jharkhand, on 16-11-2022.","http://wccb.gov.in/WriteReadData/UserFiles/file/EBook/WCCB%20Quarterly%20Newsletter%20Issue%2008%20(Oct-Dec,%202022%20Quarter).pdf",,"Joint team of WCCB and Jharkhand Forest and Police Department teams seized 08 pcs. of elephant ivory and arrested 05 persons at Chaibasa, Jharkhand, on 16-11-2022. http://wccb.gov.in/WriteReadData/UserFiles/file/EBook/WCCB%20Quarterly%20Newsletter%20Issue%2008%20(Oct-Dec,%202022%20Quarter).pdf",1
"This Congolese individual of the DRC would have committed these facts with his two accomplices on the run, September 27, 2017 in the village of Papaye forest in the Etoumbi district. In their escape, one of them was arrested on 20 June 2018 in Owando, by the elements of the National Gendarmerie and the eco-guards of the Odzala National Park. In previous hearings, the latter acknowledged the facts he is accused. The hearing of this June 12 at the court of appeal of Owando is for the requisitions and pleadings. The verdict on this case will not be long.",https://www.vox.cg/2019/06/huit-presumes-delinquants-fauniques-comparaitront-a-owando-et-impfondo/,,"This Congolese individual of the DRC would have committed these facts with his two accomplices on the run, September 27, 2017 in the village of Papaye forest in the Etoumbi district. In their escape, one of them was arrested on 20 June 2018 in Owando, by the elements of the National Gendarmerie and the eco-guards of the Odzala National Park. In previous hearings, the latter acknowledged the facts he is accused. The hearing of this June 12 at the court of appeal of Owando is for the requisitions and pleadings. The verdict on this case will not be long. https://www.vox.cg/2019/06/huit-presumes-delinquants-fauniques-comparaitront-a-owando-et-impfondo/",1
Independent Online,https://www.iol.co.za/news/crime-and-courts/gauteng-hawks-bust-three-men-for-illegal-possession-of-elephant-tusks-3ebe4db5-490c-4816-93ce-a296bcbb5c61,2023-09-07,"Three suspects, aged between 33 and 35, were arrested on Wednesday in Bruma, Johannesburg, by members of the Hawks’ Serious Organised Crime Johannesburg and K9 Unit Johannesburg for the illegal possession of elephant tusks. Hawks in Gauteng received information about a Nissan Almera that was transporting ivory tusks around the Bruma area in Johannesburg. “Members of the Hawks and the K9 unit operationalised and followed up on the information,” said Hawks spokesperson Warrant Officer Thatohatsi Mavimbela. “The vehicle fitting the description was spotted by the members, the car was stopped and searched and two elephant ivory tusks were found on the back seat behind the driver,” Mavimbela said. Mavimbela further added that the three were arrested and are expected to make their first appearance before the Johannesburg Regional Court on Friday. “They will be charged with illegal possession of elephant tusks and contravening the national environmental management biodiversity act (NEMBA),” Mavimbela said. https://www.iol.co.za/news/crime-and-courts/gauteng-hawks-bust-three-men-for-illegal-possession-of-elephant-tusks-3ebe4db5-490c-4816-93ce-a296bcbb5c61",1
Citizen,https://www.citizen.co.za/lowvelder/lnn/article/3-arrested-for-possession-of-elephant-tusks-in-joburg/,2023-09-08;,"Three men were arrested after police discovered two elephant tusks in a car in Bruma on Wednesday. The Hawks’ Serious Organised Crime Johannesburg and K9 Johannesburg units received information about a Nissan Almera that was transporting ivory tusks in the area. Hawks spokesperson Warrant Officer Thatohatsi Mavimbela says police followed up on the information and spotted a vehicle fitting the description given to them. “The car was searched, and two elephant ivory tusks were found on the back seat behind the driver,” says Mavimbela. The suspects will appear in the Johannesburg Regional Court today on charges of illegal possession of elephant tusks and contravening the National Environmental Management Biodiversity Act. https://www.citizen.co.za/lowvelder/lnn/article/3-arrested-for-possession-of-elephant-tusks-in-joburg/",1
Germiston City News,https://germistoncitynews.co.za/307944/three-arrested-for-possession-of-elephant-tusks/,2023-09-08,"The Hawks’ Serious Organised Crime Johannesburg and K9 Johannesburg units arrested three suspects on September 6 in Bruma for the illegal possession of elephant tusks. Information was received about a Nissan Almera that was transporting ivory tusks around the Bruma area in Johannesburg. “Members of the Hawks and the K9 unit operationalised and followed up on the information. The vehicle fitting the description of the car was spotted by the members. “The car was searched and two elephant ivory tusks were found on the back seat behind the driver,” said Hawks spokesperson Warrant Officer Thatohatsi Mavimbela. The three suspects were arrested and will appear in the Johannesburg Regional Court on September 8 where they will be charged with illegal possession of elephant tusks and contravening the National Environmental Management Biodiversity Act (NEMBA). https://germistoncitynews.co.za/307944/three-arrested-for-possession-of-elephant-tusks/",1
