id,additional_information,source_comments
120138,"Hindustan Times; 2023-08-22
The Government Railway Police (GRP) on Tuesday seized Elephant tusk weighing 2.3 kilograms from Lachit Express train at Kamakhya Railway Station in Assamâ€™s Guwahati. According to the officials of the Assam police, the GRP conducted an operation based on a specific information and searched several trains, including Lachit Express, which was heading to Guwahati, at Kamakhya Railway Station on Tuesday morning. â€œOne person named Sandeep Joshi was carrying the elephant tusk and he has been arrested under the Wildlife Protection Act. He was handed over to the Guwahati police later,â€ an official said. This is the third recovery of elephant tusk from the suspected smugglers and poachers in Assam in the last ten days, according to the officials. On August 18, forest officials in Morigaon recovered elephant tusk weighing 2.5 kg from a residence. The owner of the house was arrested under the Wildlife Protection Act for allegedly being involved in smuggling of wildlife animal body parts.
https://www.hindustantimes.com/cities/others/government-railway-police-grp-seizes-2-3kg-elephant-tusk-from-lachit-express-train-in-assam-arrests-smuggler-101692717988667.html

East Mojo; 2023-08-22
A significant amount of illicit elephant ivory was seized during an operation led by the Government Railway Police (GRP) at Kamakhya Railway station located in Maligaon on Tuesday. The Railway police team was inspecting the Guwahati-bound Lachit Express train, officials stated. The elephant tusk weighed about 2.300 kg and the estimated worth of the seized ivory is approximately Rs 8-10 lakh, sources said. Sandeep Joshi, identified as the person found with the elephant tusk, was arrested after the operation.
https://www.eastmojo.com/assam/2023/08/22/assam-elephant-tusk-seized-by-railway-police-in-guwahati-1-arrested/

The Assam Tribune; 2023-08-22
An elephant tusk weighing around 2.3 kilograms was seized at Kamakhya Railway Station in Guwahati on Tuesday. As per sources, The Government Railway Police carried out a search operation in Guwahati-bound Lachit Express where they recovered the elephant tusk from the possession of one accused identified as Sanjeev Joshi. The market value of the seized tusk is estimated to be around 8-10 lakh rupees. Further investigation is underway.
https://assamtribune.com/guwahati/elephant-tusk-seized-at-guwahatis-kamakhya-railway-station-1490896

The Sentinel Assam; 2023-08-22
In a recent operation conducted by the Government Railway Police (GRP) at Kamakhya Railway Station in Guwahatiâ€™s Maligaon, a substantial haul of contraband elephant ivory was confiscated. The operation, which took place on a Tuesday, targeted the Guwahati-bound Lachit Express. Sources with inside information revealed that during the operation, law enforcement officials discovered an elephant tooth weighing an astonishing 2.300 kilograms. This discovery underscores the ongoing battle against the illegal trade in wildlife products. The individual found to be associated with the illegal possession of the elephant tooth has been identified as Sandeep Joshi. He was apprehended as a result of the operation. This arrest signifies a significant step towards dismantling the networks responsible for trafficking endangered species' body parts.
https://www.sentinelassam.com/north-east-india-news/assam-news/assam-illegal-elephant-ivory-seized-in-guwahati-search-operation-663740","Hindustan Times; 2023-08-22; possession of 1 tusk weighing 2.3 kg; one arrest at Kamakhya Railway Station
https://www.hindustantimes.com/cities/others/government-railway-police-grp-seizes-2-3kg-elephant-tusk-from-lachit-express-train-in-assam-arrests-smuggler-101692717988667.html

East Mojo; 2023-08-22; tusk worth approximately Rs 8-10 lakh
https://www.eastmojo.com/assam/2023/08/22/assam-elephant-tusk-seized-by-railway-police-in-guwahati-1-arrested/

The Assam Tribune; 2023-08-22; same info as above
https://assamtribune.com/guwahati/elephant-tusk-seized-at-guwahatis-kamakhya-railway-station-1490896

The Sentinel Assam; 2023-08-22; same info as above
https://www.sentinelassam.com/north-east-india-news/assam-news/assam-illegal-elephant-ivory-seized-in-guwahati-search-operation-663740"
109283,"On 7 September 2020, the provincial Court of Sihanoukville issued a verdict confiscated 41
broken tusks and 87 whole tusks with the total weight of 613.30 kilograms as state property.
The ivory was transported and imported illegally into Cambodia by sea and were seized in
2014. Unit 2016, there was no owner coming to claim the commodity. 
https://cites.org/sites/default/files/documents/Cambodia-SC78.pdf


A total of 128 pieces of ivory weighing 613.3 kg were seized after being found surrounded by corn in a container at Sihanoukville Autonomous Port. There were 87 tusks and 41 cut pieces in the unopened container that had been shipped from Africa.  The container had arrived in Cambodia on 01 November 2013 but was not claimed.  Customs cooperated with the court to open the seal of the container in August 2016 and the ivory was found inside.",https://cites.org/sites/default/files/documents/Cambodia-SC78.pdf
118643,"United News of India; 2022-11-16
West Singhbhum forest officers and district police have recovered ten (10) pieces of elephant teeths (tusks) and arrested five (5) smugglers involved in this illegal activity during a massive raid in Chaibasa under West Singhbhum, Jharkhand on Wednesday.
http://www.uniindia.com/photoes/473591.html#

Joint team of WCCB and Jharkhand Forest and Police Department teams seized 08 pcs. of elephant ivory and arrested 05 persons at Chaibasa, Jharkhand, on 16-11-2022.
http://wccb.gov.in/WriteReadData/UserFiles/file/EBook/WCCB%20Quarterly%20Newsletter%20Issue%2008%20(Oct-Dec,%202022%20Quarter).pdf","United News of India; 2022-11-16; a total of 10 pieces of raw ivory seized; five arrested in Chaibasa, India
http://www.uniindia.com/photoes/473591.html#

Wildlife Crime Control Bureau - WCCB Newsletter Quarter: Oct â€“ Dec, 2022 Issue: 08
8 ivory pieces seized from 5 people; Chaibasa, Jharkhand
http://wccb.gov.in/WriteReadData/UserFiles/file/EBook/WCCB%20Quarterly%20Newsletter%20Issue%2008%20(Oct-Dec,%202022%20Quarter).pdf"
113156,"Note: Upon review of records status 0-2 that was conducted on 04/08/2021, change to status of 3, open source, Party had a chance to review following our outreach emails in 2021.

This Congolese individual of the DRC would have committed these facts with his two accomplices on the run, September 27, 2017 in the village of Papaye forest in the Etoumbi district.Â In their escape, one of them was arrested on 20 June 2018 in Owando, by the elements of the National Gendarmerie and the eco-guards of the Odzala National Park.Â In previous hearings, the latter acknowledged the facts heÂ isÂ accused.Â The hearing of this June 12 at the court of appeal of Owando is for the requisitions and pleadings.Â The verdict on this case will not be long.
https://www.vox.cg/2019/06/huit-presumes-delinquants-fauniques-comparaitront-a-owando-et-impfondo/","Vox Congo; 2019-06-10; seizure of 6 tusks; three offenders in the village of Papaye forest, Congo
 https://www.vox.cg/2019/06/huit-presumes-delinquants-fauniques-comparaitront-a-owando-et-impfondo/"
113118,"Investigators from the Environment and Forestry Ministry have arrested three individuals on suspicion of illegal online trading in ivory and other products made from elephants and other endangered animals. The three suspects, identified by their initials OF, 38, CK, 44, and MHF, 31, were arrested on Sunday at three separate locations in Pati, Central Java. The trio allegedly sold jewelry and other accessories like cigarette holders through three separate Facebook accounts.
https://www.thejakartapost.com/news/2019/04/30/ministry-investigators-arrest-three-for-illegal-ivory-trade-online.html","The Jakarta Post; 2019-04-30; attempt to sell 1 tusk and several ivory products; three arrests in Pati Regency, Indonesia
https://www.thejakartapost.com/news/2019/04/30/ministry-investigators-arrest-three-for-illegal-ivory-trade-online.html"
120147,"Independent Online; 2023-09-07
Three suspects, aged between 33 and 35, were arrested on Wednesday in Bruma, Johannesburg, by members of the Hawksâ€™ Serious Organised Crime Johannesburg and K9 Unit Johannesburg for the illegal possession of elephant tusks. Hawks in Gauteng received information about a Nissan Almera that was transporting ivory tusks around the Bruma area in Johannesburg. â€œMembers of the Hawks and the K9 unit operationalised and followed up on the information,â€ said Hawks spokesperson Warrant Officer Thatohatsi Mavimbela. â€œThe vehicle fitting the description was spotted by the members, the car was stopped and searched and two elephant ivory tusks were found on the back seat behind the driver,â€ Mavimbela said. Mavimbela further added that the three were arrested and are expected to make their first appearance before the Johannesburg Regional Court on Friday. â€œThey will be charged with illegal possession of elephant tusks and contravening the national environmental management biodiversity act (NEMBA),â€ Mavimbela said.
https://www.iol.co.za/news/crime-and-courts/gauteng-hawks-bust-three-men-for-illegal-possession-of-elephant-tusks-3ebe4db5-490c-4816-93ce-a296bcbb5c61

Citizen; 2023-09-08;
Three men were arrested after police discovered two elephant tusks in a car in Bruma on Wednesday. The Hawksâ€™ Serious Organised Crime Johannesburg and K9 Johannesburg units received information about a Nissan Almera that was transporting ivory tusks in the area. Hawks spokesperson Warrant Officer Thatohatsi Mavimbela says police followed up on the information and spotted a vehicle fitting the description given to them. â€œThe car was searched, and two elephant ivory tusks were found on the back seat behind the driver,â€ says Mavimbela. The suspects will appear in the Johannesburg Regional Court today on charges of illegal possession of elephant tusks and contravening the National Environmental Management Biodiversity Act.
https://www.citizen.co.za/lowvelder/lnn/article/3-arrested-for-possession-of-elephant-tusks-in-joburg/

Germiston City News; 2023-09-08
The Hawksâ€™ Serious Organised Crime Johannesburg and K9 Johannesburg units arrested three suspects on September 6 in Bruma for the illegal possession of elephant tusks. Information was received about a Nissan Almera that was transporting ivory tusks around the Bruma area in Johannesburg. â€œMembers of the Hawks and the K9 unit operationalised and followed up on the information. The vehicle fitting the description of the car was spotted by the members. â€œThe car was searched and two elephant ivory tusks were found on the back seat behind the driver,â€ said Hawks spokesperson Warrant Officer Thatohatsi Mavimbela. The three suspects were arrested and will appear in the Johannesburg Regional Court on September 8 where they will be charged with illegal possession of elephant tusks and contravening the National Environmental Management Biodiversity Act (NEMBA).
https://germistoncitynews.co.za/307944/three-arrested-for-possession-of-elephant-tusks/","Independent Online; 2023-09-07; possession of 2 tusks; three arrests in Bruma, Johannesburg
https://www.iol.co.za/news/crime-and-courts/gauteng-hawks-bust-three-men-for-illegal-possession-of-elephant-tusks-3ebe4db5-490c-4816-93ce-a296bcbb5c61

Citizen; 2023-09-08; same info as above
https://www.citizen.co.za/lowvelder/lnn/article/3-arrested-for-possession-of-elephant-tusks-in-joburg/

Germiston City News; 2023-09-08; same info as above
https://germistoncitynews.co.za/307944/three-arrested-for-possession-of-elephant-tusks/"
118646,"duplicate existing record(s): 118433

Review Online; 2022-11-21
Two Zimbabwean nationals, aged 32 and 43-years-old are expected to appear before the Musina Magistrateâ€™s Court today (November 21) on charges of possession of protected species following their arrest on Friday (November 18). Police spokesperson Colonel Malesela Ledwaba said the duo were arrested in posession of a pangolin and an elephant tusk worth R1m along the Beitbridge Border Line. â€œThe suspects were arrested following a joint sting operation conducted by the Crime Intelligence Unit, Stock Theft and Endangered Species Unit and the Beitbridge task team who were joined by members of the SANDF and Wildlife Centre. Members received information about individuals who were in possession of protected species and had just crossed into South Africa from Zimbabwe using a boat,â€ a statement read. Ledwaba said the suspects were apprehended at midday along the western Beitbridge border line and that the pangolin and elephant tusk were found concealed inside the bags that they were carrying. â€œPolice investigations continue,â€ he said.
https://reviewonline.co.za/557384/zimbabweans-arrested-at-border-with-an-elephant-tusk-and-pangolin/

Times Live; 2022-11-21
Two suspects who were arrested for possession of a pangolin and an elephant tusk worth R1m at the Beitbridge bridge border line in Limpopo are expected to appear in court on Monday. The Zimbabwean nationals aged 32 and 43 were arrested on Friday and are facing charges of possession of protected species. Limpopo police spokesperson Col Malesela Ledwaba said the suspects were arrested following a sting joint operation by crime intelligence, the stock theft and endangered species unit and Beitbridge task team joined by members of the military and the Wildlife Centre. He said information was received about suspects in possession of protected species who had crossed into South Africa from Zimbabwe using a boat. â€œAn operation was conducted and the suspects were apprehended at about 12pm along the western border line at Beitbridge. One pangolin and an elephant tusk with an estimated street value of R1m were found concealed inside the bags they were carrying.â€
https://www.timeslive.co.za/news/south-africa/2022-11-21-suspects-nabbed-with-pangolin-elephant-tusk-at-beitbridge-border/

Bulawayo 24 News; 2022-11-22
Two suspects who were arrested for possession of a pangolin and an elephant tusk worth R1m (US$58,000) at the Beitbridge bridge border line in Limpopo are expected to appear in court this week. The Zimbabwean nationals aged 32 and 43 were arrested on Friday and are facing charges of possession of protected species. Limpopo police spokesperson Col Malesela Ledwaba said the suspects were arrested following a sting joint operation by crime intelligence, the stock theft and endangered species unit and Beitbridge task team joined by members of the military and the Wildlife Centre. He said information was received about suspects in possession of protected species who had crossed into South Africa from Zimbabwe using a boat. ""An operation was conducted and the suspects were apprehended at about 12pm along the western border line at Beitbridge. One pangolin and an elephant tusk with an estimated street value of R1m were found concealed inside the bags they were carrying."" Ledwaba said the suspects were apprehended at midday along the western Beitbridge border line and that the pangolin and elephant tusk were found concealed inside the bags that they were carrying. ""Police investigations continue,"" he said.
https://bulawayo24.com/index-id-news-sc-national-byo-225636.html

The Herald; 2022-11-24
TWO Zimbabweans aged 32 and 43 have been arrested in South Africa for allegedly smuggling an elephant tusk and a pangolin, worth around R1 million, through an illegal entry point along the Limpopo River. The suspects were arrested last Friday and are expected to appear before the Musina Magistrateâ€™s Court soon. Limpopo police spokesperson Colonel Malesela Ledwaba confirmed. â€œThe two were arrested following a sting joint operation by the policeâ€™s Intelligence Unit, Stock Theft and Endangered Species Unit, Beitbridge Task team joined by members of SANDF and Wildlife centre on Friday,â€ he said. â€œOur officers received information about individuals who were in possession of protected species and who had just crossed into South Africa from Zimbabwe using a boat. â€œThorough investigations, and an operation, were conducted resulting in the apprehension of the suspects around 12 noon on the western side of the Beitbridge Border Postâ€. Col Ledwaba said the team recovered one pangolin and an elephant tusk with an estimated street value of R1 million from the suspectsâ€™ bags. South African police also arrested two other people aged 33 and 40 for illegal possession of explosives at the Beitbridge border post on the same day. The suspects, Col Ledwaba said, were arrested at about 5am as they crossed into South Africa from Zimbabwe. â€œThis after their truck with two trailers was stopped and upon searching it, the police together with SARS Custom Officials discovered 16 x 25kg bags containing commercial explosives hidden inside the two trailers. â€œMembers of the Musina Explosives Unit attended the scene and 17 reels of detonating fuse, 1 250 units of connector capped fuse, and 2 569 units of 28 mm x 270 mm blasting cartridges made from superpower 90 in Zambia were confiscated,â€ he said. The male driver and a female passenger were arrested on the spot and the truck was also confiscated.
https://www.herald.co.zw/two-suspected-poachers-nabbed-in-sa/","Review Online; 2022-11-21; two arrested for possession of 1 tusk at the ZA-ZW border; tusk worth R1m; offenders from Zimbabwe
https://reviewonline.co.za/557384/zimbabweans-arrested-at-border-with-an-elephant-tusk-and-pangolin/

Times Live; 2022-11-21; same info as above
https://www.timeslive.co.za/news/south-africa/2022-11-21-suspects-nabbed-with-pangolin-elephant-tusk-at-beitbridge-border/

Bulawayo 24 News; 2022-11-22; same info as above
https://bulawayo24.com/index-id-news-sc-national-byo-225636.html

The Herald; 2022-11-24; same info as above
https://www.herald.co.zw/two-suspected-poachers-nabbed-in-sa/"
112962,"EAGLE; 2019-03-09
2 traffickers arrested in the capital city with 9 kg of ivory. These two are linked to networks in Benin and Burkina Faso. The connections are under investigation. Phone evidence shows also a link with gold trafficking. The first trafficker was arrested when he tried to sell the tusk, which was concealed in his house. The ivory was found during a house search. The second trafficker, who was also involved in the transaction, was arrested later.
http://www.eagle-enforcement.org/news/2-traffickers-arrested-with-9-kg-of-ivory-A513/

Togo - TALFF; 2019-03-25
The agents of Interpol and the Ministry of Environment, Sustainable Development and Protection of Nature (MEDDPN) in collaboration with EAGLE-Togo, arrested Thursday, March 07, 2019 in LomÃ©, named ALASSANI Razak, driver of the vehicle long, in possession of a raw ivory tip of 9 kilograms. A preliminary investigation conducted jointly by the three structures above structure, allowed to challenge Friday, March 8, LomÃ© LÃ©o 2000, a second named OURO-BOUTCHOU Idrissou, as an accomplice supplier of said tip ivory; both of Togolese nationality. Indeed the alleged trafficker, ALASSANI Razak, was caught by Interpol-DCPJ elements in the middle of negotiations to sell a hint of ivory that he was trying to conceal. A search of his home in AgoÃ¨ Zongo, a peripheral district of LomÃ© allowed to seize in his room, an ivory tip of a weight of 9kg. In his opening statements, the alleged trafficker ALASSANI Razak admitted to being in possession of this ivory tip and was preparing to sell. However, Interpol, in collaboration with EGALE-Togo, successfully investigated the alleged accomplice Idrissou who would be the supplier of Razak through a well-established investigation.
http://www.eagle-togo.org/commerce-illegal-divoire-deux-trafiquants-interpelle-a-lome/","EAGLE; 2019-03-09; attempt to sell 1 tusk weighing 9 kg; two arrests in Lome, Togo
http://www.eagle-enforcement.org/news/2-traffickers-arrested-with-9-kg-of-ivory-A513/

Togo - TALFF; 2019-03-25; same info as above
http://www.eagle-togo.org/commerce-illegal-divoire-deux-trafiquants-interpelle-a-lome/"
112944,"It is understood that in the early morning of February 13, Lanzhou Customs was attached to Zhongchuan Airport Customs to supervise the flight of ZA713 from Lanzhou, Luang Prabang, Laos, and seized 7 suspected ivory bracelets from the luggage carried by 7 Chinese tourists, a total of 201 grams.Â Approved by relevant departments, all are ivory materials.Â Currently, the case is under further investigation.
http://www.sohu.com/a/294978005_123753","Sohu News; 2019-02-15; 7 worked ivory pieces weighing a total of 201 g seized by Lanzhou Customs
http://www.sohu.com/a/294978005_123753

China's Wildlife Enforcement News Digest; 2019-02; same info as above"
113231,"The Forest CID team nabbed two people here on Sunday evening while they were attempting to sell an elephant tusk, allegedly worth Rs 75,000. The accused Poonacha of Bollumadu village, a writer in the coffee estate and K M Ganesh, a jeweller from Virajpet, were planning to sell the tusk to a jeweller in Shivamogga.Â Based on reliable information, the CID team decided to trap them and conducted a decoy operation. They approached the duo as a prospective buyer and collected all the information regarding the deal. The team finally arrested them and seized the tusk which weighed two-and-half kilograms. Forest department estimated that the seized tusk was valued at Rs 75,000.
http://www.newindianexpress.com/states/karnataka/2019/mar/12/karnataka-two-held-while-trying-to-sell-elephant-tusk-1950047.html","The New Indian Express; 2019-03-12; attempt to sell 1 tusk weighing 2.5 kg and worth Rs 75,000; two arrests in Udupi, India
http://www.newindianexpress.com/states/karnataka/2019/mar/12/karnataka-two-held-while-trying-to-sell-elephant-tusk-1950047.html"
